ids,sentences
12.4.29.2,pratyag-ātmānam antarā
12.4.29.3,na nirūpyo ’sty aṇur api
12.4.29.4,syāc cec cit-sama ātma-vat
12.4.30.1,na hi satyasya nānātvam
12.4.30.2,avidvān yadi manyate
12.4.30.3,nānātvaṁ chidrayor yadvaj
12.4.30.4,jyotiṣor vātayor iva
12.4.31.1,yathā hiraṇyaṁ bahudhā samīyate
12.4.31.2,nṛbhiḥ kriyābhir vyavahāra-vartmasu
12.4.31.3,evaṁ vacobhir bhagavān adhokṣajo
12.4.31.4,vyākhyāyate laukika-vaidikair janaiḥ
12.4.32.1,yathā ghano ’rka-prabhavo ’rka-darśito
12.4.32.2,hy arkāṁśa-bhūtasya ca cakṣuṣas tamaḥ
12.4.32.3,evaṁ tv ahaṁ brahma-guṇas tad-īkṣito
12.4.32.4,brahmāṁśakasyātmana ātma-bandhanaḥ
12.4.33.1,ghano yadārka-prabhavo vidīryate
12.4.33.2,cakṣuḥ svarūpaṁ ravim īkṣate tadā
12.4.33.3,yadā hy ahaṅkāra upādhir ātmano
12.4.33.4,jijñāsayā naśyati tarhy anusmaret
12.4.34.1,yadaivam etena viveka-hetinā
12.4.34.2,māyā-mayāhaṅkaraṇātma-bandhanam
12.4.34.3,chittvācyutātmānubhavo ’vatiṣṭhate
12.4.34.4,tam āhur ātyantikam aṅga samplavam
12.4.35.1,nityadā sarva-bhūtānāṁ
12.4.35.2,brahmādīnāṁ parantapa
12.4.35.3,utpatti-pralayāv eke
12.4.35.4,sūkṣma-jñāḥ sampracakṣate
12.4.36.1,kāla-sroto-javenāśu
12.4.36.2,hriyamāṇasya nityadā
12.4.36.3,pariṇāminām avasthās tā
12.4.36.4,janma-pralaya-hetavaḥ
12.4.37.1,anādy-antavatānena
12.4.37.2,kāleneśvara-mūrtinā
12.4.37.3,avasthā naiva dṛśyante
12.4.37.4,viyati jyotiṣām iva
12.4.38.1,nityo naimittikaś caiva
12.4.38.2,tathā prākṛtiko layaḥ
12.4.38.3,ātyantikaś ca kathitaḥ
12.4.38.4,kālasya gatir īdṛśī
12.4.39.1,etāḥ kuru-śreṣṭha jagad-vidhātur
12.4.39.2,nārāyaṇasyākhila-sattva-dhāmnaḥ
12.4.39.3,līlā-kathās te kathitāḥ samāsataḥ
12.4.39.4,kārtsnyena nājo ’py abhidhātum īśaḥ
12.4.40.1,saṁsāra-sindhum ati-dustaram uttitīrṣor
12.4.40.2,nānyaḥ plavo bhagavataḥ puruṣottamasya
12.4.40.3,līlā-kathā-rasa-niṣevaṇam antareṇa
12.4.40.4,puṁso bhaved vividha-duḥkha-davārditasya
12.4.41.1,purāṇa-saṁhitām etām
12.4.41.2,ṛṣir nārāyaṇo ’vyayaḥ
12.4.41.3,nāradāya purā prāha
12.4.41.4,kṛṣṇa-dvaipāyanāya saḥ
12.4.42.1,sa vai mahyaṁ mahā-rāja
12.4.42.2,bhagavān bādarāyaṇaḥ
12.4.42.3,imāṁ bhāgavatīṁ prītaḥ
12.4.42.4,saṁhitāṁ veda-sammitām
12.4.43.1,imāṁ vakṣyaty asau sūta
12.4.43.2,ṛṣibhyo naimiṣālaye
12.4.43.3,dīrgha-satre kuru-śreṣṭha
12.4.43.4,sampṛṣṭaḥ śaunakādibhiḥ
12.5.1.1,śrī-śuka uvāca
12.5.2.1,tvaṁ tu rājan mariṣyeti
12.5.2.2,paśu-buddhim imāṁ jahi
12.5.2.3,na jātaḥ prāg abhūto ’dya
12.5.2.4,deha-vat tvaṁ na naṅkṣyasi
12.5.3.1,na bhaviṣyasi bhūtvā tvaṁ
12.5.3.2,putra-pautrādi-rūpavān
12.5.3.3,bījāṅkura-vad dehāder
12.5.3.4,vyatirikto yathānalaḥ
12.5.4.1,svapne yathā śiraś-chedaṁ
12.5.4.2,pañcatvādy ātmanaḥ svayam
12.5.4.3,yasmāt paśyati dehasya
12.5.4.4,tata ātmā hy ajo ’maraḥ
12.5.5.1,ghaṭe bhinne ghaṭākāśa
12.5.5.2,ākāśaḥ syād yathā purā
12.5.5.3,evaṁ dehe mṛte jīvo
12.5.5.4,brahma sampadyate punaḥ
12.5.6.1,manaḥ sṛjati vai dehān
12.5.6.2,guṇān karmāṇi cātmanaḥ
12.5.6.3,tan manaḥ sṛjate māyā
12.5.6.4,tato jīvasya saṁsṛtiḥ
12.5.7.1,snehādhiṣṭhāna-varty-agni-
12.5.7.2,saṁyogo yāvad īyate
12.5.7.3,tāvad dīpasya dīpatvam
12.5.7.4,evaṁ deha-kṛto bhavaḥ
12.5.7.5,rajaḥ-sattva-tamo-vṛttyā
12.5.7.6,jāyate ’tha vinaśyati
12.5.8.1,na tatrātmā svayaṁ-jyotir
12.5.8.2,yo vyaktāvyaktayoḥ paraḥ
12.5.8.3,ākāśa iva cādhāro
12.5.8.4,dhruvo ’nantopamas tataḥ
12.5.9.1,evam ātmānam ātma-stham
12.5.9.2,ātmanaivāmṛśa prabho
12.5.9.3,buddhyānumāna-garbhiṇyā
12.5.9.4,vāsudevānucintayā
12.5.10.1,codito vipra-vākyena
12.5.10.2,na tvāṁ dhakṣyati takṣakaḥ
12.5.10.3,mṛtyavo nopadhakṣyanti
12.5.10.4,mṛtyūnāṁ mṛtyum īśvaram
12.5.11-12.1,ahaṁ brahma paraṁ dhāma
12.5.11-12.2,brahmāhaṁ paramaṁ padam
12.5.11-12.3,evaṁ samīkṣya cātmānam
12.5.11-12.4,ātmany ādhāya niṣkale
12.5.13.1,etat te kathitaṁ tāta
12.5.13.2,yad ātmā pṛṣṭavān nṛpa
12.5.13.3,harer viśvātmanaś ceṣṭāṁ
12.5.13.4,kiṁ bhūyaḥ śrotum icchasi
12.6.1.1,sūta uvāca
12.6.2.1,rājovāca
12.6.3.1,nāty-adbhutam ahaṁ manye
12.6.3.2,mahatām acyutātmanām
12.6.3.3,ajñeṣu tāpa-tapteṣu
12.6.3.4,bhūteṣu yad anugrahaḥ
12.6.4.1,purāṇa-saṁhitām etām
12.6.4.2,aśrauṣma bhavato vayam
12.6.4.3,yasyāṁ khalūttamaḥ-śloko
12.6.4.4,bhagavān anuvarṇyate
12.6.5.1,bhagavaṁs takṣakādibhyo
12.6.5.2,mṛtyubhyo na bibhemy aham
12.6.5.3,praviṣṭo brahma nirvāṇam
12.6.5.4,abhayaṁ darśitaṁ tvayā
12.6.6.1,anujānīhi māṁ brahman
12.6.6.2,vācaṁ yacchāmy adhokṣaje
12.6.6.3,mukta-kāmāśayaṁ cetaḥ
12.6.6.4,praveśya visṛjāmy asūn
12.6.7.1,ajñānaṁ ca nirastaṁ me
12.6.7.2,jñāna-vijñāna-niṣṭhayā
12.6.7.3,bhavatā darśitaṁ kṣemaṁ
12.6.7.4,paraṁ bhagavataḥ padam
12.6.8.1,sūta uvāca
12.6.9-10.1,parīkṣid api rājarṣir
12.6.9-10.2,ātmany ātmānam ātmanā
12.6.9-10.3,samādhāya paraṁ dadhyāv
12.6.9-10.4,aspandāsur yathā taruḥ
12.6.11.1,takṣakaḥ prahito viprāḥ
12.6.11.2,kruddhena dvija-sūnunā
12.6.11.3,hantu-kāmo nṛpaṁ gacchan
12.6.11.4,dadarśa pathi kaśyapam
12.6.12.1,taṁ tarpayitvā draviṇair
12.6.12.2,nivartya viṣa-hāriṇam
12.6.12.3,dvija-rūpa-praticchannaḥ
12.6.12.4,kāma-rūpo ’daśan nṛpam
12.6.13.1,brahma-bhūtasya rājarṣer
12.6.13.2,deho ’hi-garalāgninā
12.6.13.3,babhūva bhasmasāt sadyaḥ
12.6.13.4,paśyatāṁ sarva-dehinām
12.6.14.1,hāhā-kāro mahān āsīd
12.6.14.2,bhuvi khe dikṣu sarvataḥ
12.6.14.3,vismitā hy abhavan sarve
12.6.14.4,devāsura-narādayaḥ
12.6.15.1,deva-dundubhayo nedur
12.6.15.2,gandharvāpsaraso jaguḥ
12.6.15.3,vavṛṣuḥ puṣpa-varṣāṇi
12.6.15.4,vibudhāḥ sādhu-vādinaḥ
12.6.16.1,janmejayaḥ sva-pitaraṁ
12.6.16.2,śrutvā takṣaka-bhakṣitam
12.6.16.3,yathājuhāva saṅkruddho
12.6.16.4,nāgān satre saha dvijaiḥ
12.6.17.1,sarpa-satre samiddhāgnau
12.6.17.2,dahyamānān mahoragān
12.6.17.3,dṛṣṭvendraṁ bhaya-saṁvignas
12.6.17.4,takṣakaḥ śaraṇaṁ yayau
12.6.18.1,apaśyaṁs takṣakaṁ tatra
12.6.18.2,rājā pārīkṣito dvijān
12.6.18.3,uvāca takṣakaḥ kasmān
12.6.18.4,na dahyetoragādhamaḥ
12.6.19.1,taṁ gopāyati rājendra
12.6.19.2,śakraḥ śaraṇam āgatam
12.6.19.3,tena saṁstambhitaḥ sarpas
12.6.19.4,tasmān nāgnau pataty asau
12.6.20.1,pārīkṣita iti śrutvā
12.6.20.2,prāhartvija udāra-dhīḥ
12.6.20.3,sahendras takṣako viprā
12.6.20.4,nāgnau kim iti pātyate
12.6.21.1,tac chrutvājuhuvur viprāḥ
12.6.21.2,sahendraṁ takṣakaṁ makhe
12.6.21.3,takṣakāśu patasveha
12.6.21.4,sahendreṇa marutvatā
12.6.22.1,iti brahmoditākṣepaiḥ
12.6.22.2,sthānād indraḥ pracālitaḥ
12.6.22.3,babhūva sambhrānta-matiḥ
12.6.22.4,sa-vimānaḥ sa-takṣakaḥ
12.6.23.1,taṁ patantaṁ vimānena
12.6.23.2,saha-takṣakam ambarāt
12.6.23.3,vilokyāṅgirasaḥ prāha
12.6.23.4,rājānaṁ taṁ bṛhaspatiḥ
12.6.24.1,naiṣa tvayā manuṣyendra
12.6.24.2,vadham arhati sarpa-rāṭ
12.6.24.3,anena pītam amṛtam
12.6.24.4,atha vā ajarāmaraḥ
12.6.25.1,jīvitaṁ maraṇaṁ jantor
12.6.25.2,gatiḥ svenaiva karmaṇā
12.6.25.3,rājaṁs tato ’nyo nāsty asya
12.6.25.4,pradātā sukha-duḥkhayoḥ
12.6.26.1,sarpa-caurāgni-vidyudbhyaḥ
12.6.26.2,kṣut-tṛd-vyādhy-ādibhir nṛpa
12.6.26.3,pañcatvam ṛcchate jantur
12.6.26.4,bhuṅkta ārabdha-karma tat
12.6.27.1,tasmāt satram idaṁ rājan
12.6.27.2,saṁsthīyetābhicārikam
12.6.27.3,sarpā anāgaso dagdhā
12.6.27.4,janair diṣṭaṁ hi bhujyate
12.6.28.1,sūta uvāca
12.6.29.1,saiṣā viṣṇor mahā-māyā-
12.6.29.2,bādhyayālakṣaṇā yayā
12.6.29.3,muhyanty asyaivātma-bhūtā
12.6.29.4,bhūteṣu guṇa-vṛttibhiḥ
12.6.30-31.1,na yatra dambhīty abhayā virājitā
12.6.30-31.2,māyātma-vāde ’sakṛd ātma-vādibhiḥ
12.6.30-31.3,na yad vivādo vividhas tad-āśrayo
12.6.30-31.4,manaś ca saṅkalpa-vikalpa-vṛtti yat
12.6.32.1,paraṁ padaṁ vaiṣṇavam āmananti tad
12.6.32.2,yan neti netīty atad-utsisṛkṣavaḥ
12.6.32.3,visṛjya daurātmyam ananya-sauhṛdā
12.6.32.4,hṛdopaguhyāvasitaṁ samāhitaiḥ
12.6.33.1,ta etad adhigacchanti
12.6.33.2,viṣṇor yat paramaṁ padam
12.6.33.3,ahaṁ mameti daurjanyaṁ
12.6.33.4,na yeṣāṁ deha-geha-jam
12.6.34.1,ativādāṁs titikṣeta
12.6.34.2,nāvamanyeta kañcana
12.6.34.3,na cemaṁ deham āśritya
12.6.34.4,vairaṁ kurvīta kenacit
12.6.35.1,namo bhagavate tasmai
12.6.35.2,kṛṣṇāyākuṇṭha-medhase
12.6.35.3,yat-pādāmburuha-dhyānāt
12.6.35.4,saṁhitām adhyagām imām
12.6.36.1,śrī-śaunaka uvāca
12.6.37.1,sūta uvāca
12.6.38.1,yad-upāsanayā brahman
12.6.38.2,yogino malam ātmanaḥ
12.6.38.3,dravya-kriyā-kārakākhyaṁ
12.6.38.4,dhūtvā yānty apunar-bhavam
12.6.39.1,tato ’bhūt tri-vṛd oṁkāro
12.6.39.2,yo ’vyakta-prabhavaḥ sva-rāṭ
12.6.39.3,yat tal liṅgaṁ bhagavato
12.6.39.4,brahmaṇaḥ paramātmanaḥ
12.6.40-41.1,śṛṇoti ya imaṁ sphoṭaṁ
12.6.40-41.2,supta-śrotre ca śūnya-dṛk
12.6.40-41.3,yena vāg vyajyate yasya
12.6.40-41.4,vyaktir ākāśa ātmanaḥ
12.6.42.1,tasya hy āsaṁs trayo varṇā
12.6.42.2,a-kārādyā bhṛgūdvaha
12.6.42.3,dhāryante yais trayo bhāvā
12.6.42.4,guṇa-nāmārtha-vṛttayaḥ
12.6.43.1,tato ’kṣara-samāmnāyam
12.6.43.2,asṛjad bhagavān ajaḥ
12.6.43.3,antasthoṣma-svara-sparśa-
12.6.43.4,hrasva-dīrghādi-lakṣaṇam
12.6.44.1,tenāsau caturo vedāṁś
12.6.44.2,caturbhir vadanair vibhuḥ
12.6.44.3,sa-vyāhṛtikān soṁkārāṁś
12.6.44.4,cātur-hotra-vivakṣayā
12.6.45.1,putrān adhyāpayat tāṁs tu
12.6.45.2,brahmarṣīn brahma-kovidān
12.6.45.3,te tu dharmopadeṣṭāraḥ
12.6.45.4,sva-putrebhyaḥ samādiśan
12.6.46.1,te paramparayā prāptās
12.6.46.2,tat-tac-chiṣyair dhṛta-vrataiḥ
12.6.46.3,catur-yugeṣv atha vyastā
12.6.46.4,dvāparādau maharṣibhiḥ
12.6.47.1,kṣīṇāyuṣaḥ kṣīṇa-sattvān
12.6.47.2,durmedhān vīkṣya kālataḥ
12.6.47.3,vedān brahmarṣayo vyasyan
12.6.47.4,hṛdi-sthācyuta-coditāḥ
12.6.48-49.1,asminn apy antare brahman
12.6.48-49.2,bhagavān loka-bhāvanaḥ
12.6.48-49.3,brahmeśādyair loka-pālair
12.6.48-49.4,yācito dharma-guptaye
12.6.50.1,ṛg-atharva-yajuḥ-sāmnāṁ
12.6.50.2,rāśīr uddhṛtya vargaśaḥ
12.6.50.3,catasraḥ saṁhitāś cakre
12.6.50.4,mantrair maṇi-gaṇā iva
12.6.51.1,tāsāṁ sa caturaḥ śiṣyān
12.6.51.2,upāhūya mahā-matiḥ
12.6.51.3,ekaikāṁ saṁhitāṁ brahmann
12.6.51.4,ekaikasmai dadau vibhuḥ
12.6.52-53.1,pailāya saṁhitām ādyāṁ
12.6.52-53.2,bahvṛcākhyāṁ uvāca ha
12.6.52-53.3,vaiśampāyana-saṁjñāya
12.6.52-53.4,nigadākhyaṁ yajur-gaṇam
12.6.54-56.1,pailaḥ sva-saṁhitām ūce
12.6.54-56.2,indrapramitaye muniḥ
12.6.54-56.3,bāṣkalāya ca so ’py āha
12.6.54-56.4,śiṣyebhyaḥ saṁhitāṁ svakām
12.6.57.1,śākalyas tat-sutaḥ svāṁ tu
12.6.57.2,pañcadhā vyasya saṁhitām
12.6.57.3,vātsya-mudgala-śālīya-
12.6.57.4,gokhalya-śiśireṣv adhāt
12.6.58.1,jātūkarṇyaś ca tac-chiṣyaḥ
12.6.58.2,sa-niruktāṁ sva-saṁhitām
12.6.58.3,balāka-paila-jābāla-
12.6.58.4,virajebhyo dadau muniḥ
12.6.59.1,bāṣkaliḥ prati-śākhābhyo
12.6.59.2,vālakhilyākhya-saṁhitām
12.6.59.3,cakre vālāyanir bhajyaḥ
12.6.59.4,kāśāraś caiva tāṁ dadhuḥ
12.6.60.1,bahvṛcāḥ saṁhitā hy etā
12.6.60.2,ebhir brahmarṣibhir dhṛtāḥ
12.6.60.3,śrutvaitac-chandasāṁ vyāsaṁ
12.6.60.4,sarva-pāpaiḥ pramucyate
12.6.61.1,vaiśampāyana-śiṣyā vai
12.6.61.2,carakādhvaryavo ’bhavan
12.6.61.3,yac cerur brahma-hatyāṁhaḥ
12.6.61.4,kṣapaṇaṁ sva-guror vratam
12.6.62.1,yājñavalkyaś ca tac-chiṣya
12.6.62.2,āhāho bhagavan kiyat
12.6.62.3,caritenālpa-sārāṇāṁ
12.6.62.4,cariṣye ’haṁ su-duścaram
12.6.63.1,ity ukto gurur apy āha
12.6.63.2,kupito yāhy alaṁ tvayā
12.6.63.3,viprāvamantrā śiṣyeṇa
12.6.63.4,mad-adhītaṁ tyajāśv iti
12.6.64-65.1,devarāta-sutaḥ so ’pi
12.6.64-65.2,charditvā yajuṣāṁ gaṇam
12.6.64-65.3,tato gato ’tha munayo
12.6.64-65.4,dadṛśus tān yajur-gaṇān
12.6.66.1,yājñavalkyas tato brahmaṁś
12.6.66.2,chandāṁsy adhi gaveṣayan
12.6.66.3,guror avidyamānāni
12.6.66.4,sūpatasthe ’rkam īśvaram
12.6.67.1,śrī-yājñavalkya uvāca
12.6.68.1,yad u ha vāva vibudharṣabha savitar adas tapaty anusavanam ahar ahar āmnāya-vidhinopatiṣṭhamānānām akhila-durita-vṛjina- bījāvabharjana bhagavataḥ samabhidhīmahi tapana maṇḍalam.
12.6.69.1,ya iha vāva sthira-cara-nikarāṇāṁ nija-niketanānāṁ mana-indriyāsu-gaṇān anātmanaḥ svayam ātmāntar-yāmī pracodayati.
12.6.70.1,ya evemaṁ lokam ati-karāla-vadanāndhakāra-saṁjñājagara-graha-gilitaṁ mṛtakam iva vicetanam avalokyānukampayā parama-kāruṇika īkṣayaivotthāpyāhar ahar anusavanaṁ śreyasi sva-dharmākhyātmāva-sthane pravartayati.
12.6.71.1,avani-patir ivāsādhūnāṁ bhayam udīrayann aṭati parita āśā-pālais tatra tatra kamala-kośāñjalibhir upahṛtārhaṇaḥ.
12.6.72.1,atha ha bhagavaṁs tava caraṇa-nalina-yugalaṁ tri-bhuvana-gurubhir abhivanditam aham ayāta-yāma-yajuṣ-kāma upasarāmīti.
12.6.73.1,sūta uvāca
12.6.74.1,yajurbhir akaroc chākhā
12.6.74.2,daśa pañca śatair vibhuḥ
12.6.74.3,jagṛhur vājasanyas tāḥ
12.6.74.4,kāṇva-mādhyandinādayaḥ
12.6.75.1,jaimineḥ sama-gasyāsīt
12.6.75.2,sumantus tanayo muniḥ
12.6.75.3,sutvāṁs tu tat-sutas tābhyām
12.6.75.4,ekaikāṁ prāha saṁhitām
12.6.76-77.1,sukarmā cāpi tac-chiṣyaḥ
12.6.76-77.2,sāma-veda-taror mahān
12.6.76-77.3,sahasra-saṁhitā-bhedaṁ
12.6.76-77.4,cakre sāmnāṁ tato dvija
12.6.78.1,udīcyāḥ sāma-gāḥ śiṣyā
12.6.78.2,āsan pañca-śatāni vai
12.6.78.3,pauṣyañjy-āvantyayoś cāpi
12.6.78.4,tāṁś ca prācyān pracakṣate
12.6.79.1,laugākṣir māṅgaliḥ kulyaḥ
12.6.79.2,kuśīdaḥ kukṣir eva ca
12.6.79.3,pauṣyañji-śiṣyā jagṛhuḥ
12.6.79.4,saṁhitās te śataṁ śatam
12.6.80.1,kṛto hiraṇyanābhasya
12.6.80.2,catur-viṁśati saṁhitāḥ
12.6.80.3,śiṣya ūce sva-śiṣyebhyaḥ
12.6.80.4,śeṣā āvantya ātmavān
12.7.1.1,sūta uvāca
12.7.2.1,śauklāyanir brahmabalir
12.7.2.2,modoṣaḥ pippalāyaniḥ
12.7.2.3,vedadarśasya śiṣyās te
12.7.2.4,pathya-śiṣyān atho śṛṇu
12.7.2.5,kumudaḥ śunako brahman
12.7.2.6,jājaliś cāpy atharva-vit
12.7.3.1,babhruḥ śiṣyo ’thāṅgirasaḥ
12.7.3.2,saindhavāyana eva ca
12.7.3.3,adhīyetāṁ saṁhite dve
12.7.3.4,sāvarṇādyās tathāpare
12.7.4.1,nakṣatrakalpaḥ śāntiś ca
12.7.4.2,kaśyapāṅgirasādayaḥ
12.7.4.3,ete ātharvaṇācāryāḥ
12.7.4.4,śṛṇu paurāṇikān mune
12.7.5.1,trayyāruṇiḥ kaśyapaś ca
12.7.5.2,sāvarṇir akṛtavraṇaḥ
12.7.5.3,vaiśampāyana-hārītau
12.7.5.4,ṣaḍ vai paurāṇikā ime
12.7.6.1,adhīyanta vyāsa-śiṣyāt
12.7.6.2,saṁhitāṁ mat-pitur mukhāt
12.7.6.3,ekaikām aham eteṣāṁ
12.7.6.4,śiṣyaḥ sarvāḥ samadhyagām
12.7.7.1,kaśyapo ’haṁ ca sāvarṇī
12.7.7.2,rāma-śiṣyo ’kṛtavraṇaḥ
12.7.7.3,adhīmahi vyāsa-śiṣyāc
12.7.7.4,catvāro mūla-saṁhitāḥ
12.7.8.1,purāṇa-lakṣaṇaṁ brahman
12.7.8.2,brahmarṣibhir nirūpitam
12.7.8.3,śṛṇuṣva buddhim āśritya
12.7.8.4,veda-śāstrānusārataḥ
12.7.9-10.1,sargo ’syātha visargaś ca
12.7.9-10.2,vṛtti-rakṣāntarāṇi ca
12.7.9-10.3,vaṁśo vaṁśānucaritaṁ
12.7.9-10.4,saṁsthā hetur apāśrayaḥ
12.7.11.1,avyākṛta-guṇa-kṣobhān
12.7.11.2,mahatas tri-vṛto ’hamaḥ
12.7.11.3,bhūta-sūkṣmendriyārthānāṁ
12.7.11.4,sambhavaḥ sarga ucyate
12.7.12.1,puruṣānugṛhītānām
12.7.12.2,eteṣāṁ vāsanā-mayaḥ
12.7.12.3,visargo ’yaṁ samāhāro
12.7.12.4,bījād bījaṁ carācaram
12.7.13.1,vṛttir bhūtāni bhūtānāṁ
12.7.13.2,carāṇām acarāṇi ca
12.7.13.3,kṛtā svena nṛṇāṁ tatra
12.7.13.4,kāmāc codanayāpi vā
12.7.14.1,rakṣācyutāvatārehā
12.7.14.2,viśvasyānu yuge yuge
12.7.14.3,tiryaṅ-martyarṣi-deveṣu
12.7.14.4,hanyante yais trayī-dviṣaḥ
12.7.15.1,manvantaraṁ manur devā
12.7.15.2,manu-putrāḥ sureśvarāḥ
12.7.15.3,ṛṣayo ’ṁśāvatārāś ca
12.7.15.4,hareḥ ṣaḍ-vidham ucyate
12.7.16.1,rājñāṁ brahma-prasūtānāṁ
12.7.16.2,vaṁśas trai-kāliko ’nvayaḥ
12.7.16.3,vaṁśānucaritaṁ teṣāṁ
12.7.16.4,vṛttaṁ vaṁśa-dharās ca ye
12.7.17.1,naimittikaḥ prākṛtiko
12.7.17.2,nitya ātyantiko layaḥ
12.7.17.3,saṁstheti kavibhiḥ proktaś
12.7.17.4,caturdhāsya svabhāvataḥ
12.7.18.1,hetur jīvo ’sya sargāder
12.7.18.2,avidyā-karma-kārakaḥ
12.7.18.3,yaṁ cānuśāyinaṁ prāhur
12.7.18.4,avyākṛtam utāpare
12.7.19.1,vyatirekānvayo yasya
12.7.19.2,jāgrat-svapna-suṣuptiṣu
12.7.19.3,māyā-mayeṣu tad brahma
12.7.19.4,jīva-vṛttiṣv apāśrayaḥ
12.7.20.1,padārtheṣu yathā dravyaṁ
12.7.20.2,san-mātraṁ rūpa-nāmasu
12.7.20.3,bījādi-pañcatāntāsu
12.7.20.4,hy avasthāsu yutāyutam
12.7.21.1,virameta yadā cittaṁ
12.7.21.2,hitvā vṛtti-trayaṁ svayam
12.7.21.3,yogena vā tadātmānaṁ
12.7.21.4,vedehāyā nivartate
12.7.22.1,evaṁ lakṣaṇa-lakṣyāṇi
12.7.22.2,purāṇāni purā-vidaḥ
12.7.22.3,munayo ’ṣṭādaśa prāhuḥ
12.7.22.4,kṣullakāni mahānti ca
12.7.23-24.1,brāhmaṁ pādmaṁ vaiṣṇavaṁ ca
12.7.23-24.2,śaivaṁ laiṅgaṁ sa-gāruḍaṁ
12.7.23-24.3,nāradīyaṁ bhāgavatam
12.7.23-24.4,āgneyaṁ skānda-saṁjñitam
12.7.25.1,brahmann idaṁ samākhyātaṁ
12.7.25.2,śākhā-praṇayanaṁ muneḥ
12.7.25.3,śiṣya-śiṣya-praśiṣyāṇāṁ
12.7.25.4,brahma-tejo-vivardhanam
12.8.1.1,śrī-śaunaka uvāca
12.8.2-5.1,āhuś cirāyuṣam ṛṣiṁ
12.8.2-5.2,mṛkaṇḍu-tanayaṁ janāḥ
12.8.2-5.3,yaḥ kalpānte hy urvarito
12.8.2-5.4,yena grastam idaṁ jagat
12.8.6.1,sūta uvāca
12.8.7-11.1,prāpta-dvijāti-saṁskāro
12.8.7-11.2,mārkaṇḍeyaḥ pituḥ kramāt
12.8.7-11.3,chandāṁsy adhītya dharmeṇa
12.8.7-11.4,tapaḥ-svādhyāya-saṁyutaḥ
12.8.12.1,brahmā bhṛgur bhavo dakṣo
12.8.12.2,brahma-putrāś ca ye ’pare
12.8.12.3,nṛ-deva-pitṛ-bhūtāni
12.8.12.4,tenāsann ati-vismitāḥ
12.8.13.1,itthaṁ bṛhad-vrata-dharas
12.8.13.2,tapaḥ-svādhyāya-saṁyamaiḥ
12.8.13.3,dadhyāv adhokṣajaṁ yogī
12.8.13.4,dhvasta-kleśāntarātmanā
12.8.14.1,tasyaivaṁ yuñjataś cittaṁ
12.8.14.2,mahā-yogena yoginaḥ
12.8.14.3,vyatīyāya mahān kālo
12.8.14.4,manvantara-ṣaḍ-ātmakaḥ
12.8.15.1,etat purandaro jñātvā
12.8.15.2,saptame ’smin kilāntare
12.8.15.3,tapo-viśaṅkito brahmann
12.8.15.4,ārebhe tad-vighātanam
12.8.16.1,gandharvāpsarasaḥ kāmaṁ
12.8.16.2,vasanta-malayānilau
12.8.16.3,munaye preṣayām āsa
12.8.16.4,rajas-toka-madau tathā
12.8.17.1,te vai tad-āśramaṁ jagmur
12.8.17.2,himādreḥ pārśva uttare
12.8.17.3,puṣpabhadrā nadī yatra
12.8.17.4,citrākhyā ca śilā vibho
12.8.18-20.1,tad-āśrama-padaṁ puṇyaṁ
12.8.18-20.2,puṇya-druma-latāñcitam
12.8.18-20.3,puṇya-dvija-kulākīrṇaṁ
12.8.18-20.4,puṇyāmala-jalāśayam
12.8.21.1,udyac-candra-niśā-vaktraḥ
12.8.21.2,pravāla-stabakālibhiḥ
12.8.21.3,gopa-druma-latā-jālais
12.8.21.4,tatrāsīt kusumākaraḥ
12.8.22.1,anvīyamāno gandharvair
12.8.22.2,gīta-vāditra-yūthakaiḥ
12.8.22.3,adṛśyatātta-cāpeṣuḥ
12.8.22.4,svaḥ-strī-yūtha-patiḥ smaraḥ
12.8.23.1,hutvāgniṁ samupāsīnaṁ
12.8.23.2,dadṛśuḥ śakra-kiṅkarāḥ
12.8.23.3,mīlitākṣaṁ durādharṣaṁ
12.8.23.4,mūrtimantam ivānalam
12.8.24.1,nanṛtus tasya purataḥ
12.8.24.2,striyo ’tho gāyakā jaguḥ
12.8.24.3,mṛdaṅga-vīṇā-paṇavair
12.8.24.4,vādyaṁ cakrur mano-ramam
12.8.25.1,sandadhe ’straṁ sva-dhanuṣi
12.8.25.2,kāmaḥ pañca-mukhaṁ tadā
12.8.25.3,madhur mano rajas-toka
12.8.25.4,indra-bhṛtyā vyakampayan
12.8.26-27.1,krīḍantyāḥ puñjikasthalyāḥ
12.8.26-27.2,kandukaiḥ stana-gauravāt
12.8.26-27.3,bhṛśam udvigna-madhyāyāḥ
12.8.26-27.4,keśa-visraṁsita-srajaḥ
12.8.28.1,visasarja tadā bāṇaṁ
12.8.28.2,matvā taṁ sva-jitaṁ smaraḥ
12.8.28.3,sarvaṁ tatrābhavan mogham
12.8.28.4,anīśasya yathodyamaḥ
12.8.29.1,ta ittham apakurvanto
12.8.29.2,munes tat-tejasā mune
12.8.29.3,dahyamānā nivavṛtuḥ
12.8.29.4,prabodhyāhim ivārbhakāḥ
12.8.30.1,itīndrānucarair brahman
12.8.30.2,dharṣito ’pi mahā-muniḥ
12.8.30.3,yan nāgād ahamo bhāvaṁ
12.8.30.4,na tac citraṁ mahatsu hi
12.8.31.1,dṛṣṭvā nistejasaṁ kāmaṁ
12.8.31.2,sa-gaṇaṁ bhagavān svarāṭ
