,source,target,prediction,origin
152,aprapya mam nivartante mrtyu-samsara-vartmani,aprāpya māṁ nivartante mṛtyu-saṁsāra-vartmani,aprapya mam nivartante mṛtyu-samsara-vartmani,pdf
153,maya tatam idam sarvam jagad avyakta-murtina,mayā tatam idaṁ sarvaṁ jagad avyakta-mūrtinā,maya tataṁ idam sarvam jagad avyakta-murtina,pdf
154,mat-sthani sarva-bhutani na caham tesv avasthitah,mat-sthāni sarva-bhūtāni na cāhaṁ teṣv avasthitaḥ,mat-sthani sarva-bhutani na cahaṁ teṣv avasthitaḥ,pdf
155,na ca mat-sthani bhutani pasya me yogam aisvaram,na ca mat-sthāni bhūtāni paśya me yogam aiśvaram,na ca mat-sthani bhutani pasya me yogam aiśvaram,pdf
156,bhuta-bhrn na ca bhita-stho mamatma bhiuta-bhavanah,bhūta-bhṛn na ca bhūta-stho mamātmā bhūta-bhāvanaḥ,bhūta-bhrṇ na ca bhita-stho mamatma bhiuta-bhavanaḥ,pdf
157,mayadhyaksena prakrtih suyate sa-caracaram,mayādhyakṣeṇa prakṛtiḥ sūyate sa-carācaram,mayadhyakṣena prakṛtiḥ suyate sa-caracaram,pdf
158,hetunanena kaunteya jagad viparivartate,hetunānena kaunteya jagad viparivartate,hetunānena kaunteya jagad viparivartate,pdf
159,avajananti mam mudha manusim tanum asritam,avajānanti māṁ mūḍhā mānuṣīṁ tanum āśritam,avajanānti mam mudha manuṣim tanum asritaṁ,pdf
160,param bhavam ajananto mama bhuta-mahesvaram,paraṁ bhāvam ajānanto mama bhūta-maheśvaram,param bhavaṁ ajananto mama bhuta-maheṣvaram,pdf
161,moghasa mogha-karmano mogha-jnana vicetasah,moghāśā mogha-karmāṇo mogha-jñānā vicetasaḥ,moghasa mogha-karmaṇo mogha-jñana vicetasaḥ,pdf
162,raksasim asurim caiva prakrtim mohinim sritah,rākṣasīm āsurīṁ caiva prakṛtiṁ mohinīṁ śritāḥ,rakṣasim asurim caiva prakṛtim mohinim srītaḥ,pdf
163,mahatmanas tu mam partha daivim prakrtim asritah,mahātmānas tu māṁ pārtha daivīṁ prakṛtim āśritāḥ,mahatmanas tu mam partha daivim prakṛtim asritaḥ,pdf
164,bhajanty ananya-manaso jhatva bhutadim avyayam,bhajanty ananya-manaso jñātvā bhūtādim avyayam,bhajanty ananya-manaso jhatva bhutadim avyayaṁ,pdf
165,satatam kirtayanto mam yatantas ca drdha-vratah,satataṁ kīrtayanto māṁ yatantaś ca dṛḍha-vratāḥ,satataṁ kirtayanto mam yatantas ca drdha-vrataḥ,pdf
166,namasyantas ca mam bhaktya nitya-yukta upasate,namasyantaś ca māṁ bhaktyā nitya-yuktā upāsate,namasyantas ca mam bhaktya nitya-yukta upasate,pdf
167,pitaham asya jagato mata dhata pitamahah,pitāham asya jagato mātā dhātā pitāmahaḥ,pitaḥāṁ asya jagato mata dhata pitaṁaḥaḥ,pdf
168,vedyam pavitram omkara rk sama yajur eva ca,vedyaṁ pavitram oṁ-kāra ṛk sāma yajur eva ca,vedyaṁ pavitram omkara rk sama yajur eva ca,pdf
169,te tam bhuktva svarga-lokam visalam,te taṁ bhuktvā svarga-lokaṁ viśālaṁ,te tam bhūktva svarga-lokam viśalaṁ,pdf
170,ksine punye martya-lokam visanti,kṣīṇe puṇye martya-lokaṁ viśanti,kṣiṇe puṇye martya-lokam viśaṇti,pdf
171,evam trayi-dharmam anuprapanna,evaṁ trayī-dharmam anuprapannā,evaṁ trayi-dharmam anuprapanna,pdf
172,gatagatam kama-kama labhante,gatāgataṁ kāma-kāmā labhante,gatagataṁ kama-kama labhante,pdf
173,ananyas cintayanto mam ye janah paryupasate,ananyāś cintayanto māṁ ye janāḥ paryupāsate,ananyas cintayanto mam ye janaḥ paryupasate,pdf
174,tesam nityabhiyuktanam yoga-ksemam vahamy aham,teṣāṁ nityābhiyuktānāṁ yoga-kṣemaṁ vahāmy aham,teṣaṁ nityabhiyuktanaṁ yoga-kṣemam vahaṁy aham,pdf
175,ye 'py anya-devata-bhakta yajante sraddhayanvitah,ye ’py anya-devatā-bhaktā yajante śraddhayānvitāḥ,ye ’py anya-devata-bhakta yajante sraddhayanvitaḥ,pdf
176,te 'pi mam eva kaunteya yajanty avidhi-purvakam,te ’pi mām eva kaunteya yajanty avidhi-pūrvakam,te ’pi mam eva kaunteya yajanty avidhi-purvakam,pdf
177,yanti deva-vrata devan pitrn yanti pitr-vratah,yānti deva-vratā devān pitṝn yānti pitṛ-vratāḥ,yanti deva-vrata devan pitrṇ yanti pitr-vrataḥ,pdf
178,bhutani yanti bhutejya yanti mad-yajino 'pi mam,bhūtāni yānti bhūtejyā yānti mad-yājino ’pi mām,bhūtani yanti bhutejya yanti mad-yajino ’pi mam,pdf
179,patram puspam phalam toyam yo me bhakta prayacchati,patraṁ puṣpaṁ phalaṁ toyaṁ yo me bhaktyā prayacchati,patram puṣpam phalaṁ toyam yo me bhakta prayacchati,pdf
180,tad aham bhakty-upahrtam asnami prayatatmanah,tad ahaṁ bhakty-upahṛtam aśnāmi prayatātmanaḥ,tad ahaṁ bhakty-upaḥrtam asnami prayatatmanaḥ,pdf
181,yat karosi yad asnasi yaj juhosi dadasi yat,yat karoṣi yad aśnāsi yaj juhoṣi dadāsi yat,yat karoṣi yad asnasi yaj juhoṣi dadasi yat,pdf
182,yat tapasyasi kaunteya tat kurusva mad-arpanam,yat tapasyasi kaunteya tat kuruṣva mad-arpaṇam,yat tapasyasi kaunteya tat kuruṣva mad-arpaṇaṁ,pdf
183,samo 'ham sarva-bhutesu na me dvesyo 'sti na priyah,samo ’haṁ sarva-bhūteṣu na me dveṣyo ’sti na priyaḥ,samo ’haṁ sarva-bhuteṣu na me dveṣyo ’sti na priyaḥ,pdf
184,ye bhajanti tu mam bhaktya mayi te tesu capy aham,ye bhajanti tu māṁ bhaktyā mayi te teṣu cāpy aham,ye bhajanti tu mam bhaktya mayi te teṣu capy aham,pdf
185,api cet su-duracaro bhajate mam ananya-bhak,api cet su-durācāro bhajate mām ananya-bhāk,api cet su-duracaro bhajate mam ananya-bhak,pdf
186,sadhur eva sa mantavyah samyag vyavasito hi sah,sādhur eva sa mantavyaḥ samyag vyavasito hi saḥ,sadhur eva sa mantavyaḥ samyag vyavasito hi sah,pdf
187,ksipram bhavati dharmatma sasvac-chantim nigacchati,kṣipraṁ bhavati dharmātmā śaśvac-chāntiṁ nigacchati,kṣipram bhavati dharmatma sasvac-chantim nigacchati,pdf
188,kaunteya pratijanthi na me bhaktah pranasyati,kaunteya pratijānīhi na me bhaktaḥ praṇaśyati,kaunteya pratijanthi na me bhaktaḥ praṇasyati,pdf
189,mam hi partha vyapasritya ye 'pi syuh papa-yonayah,māṁ hi pārtha vyapāśritya ye ’pi syuḥ pāpa-yonayaḥ,mam hi partha vyapasritya ye ’pi syuḥ papa-yonayaḥ,pdf
190,striyo vaisyas tatha sudras te 'pi yanti param gatim,striyo vaiśyās tathā śūdrās te ’pi yānti parāṁ gatim,strīyo vaiśyas tatha sudras te ’pi yanti param gatiṁ,pdf
191,kim punar brahmanah punya bhakta rajarsayas tatha,kiṁ punar brāhmaṇāḥ puṇyā bhaktā rājarṣayas tathā,kim puṇar bṛahmaṇaḥ puṇya bhakta rajarṣayas tatha,pdf
192,anityam asukham lokam imam prapya bhajasva mam,anityam asukhaṁ lokam imaṁ prāpya bhajasva mām,anityaṁ asukhaṁ lokam imam prapya bhajasva mam,pdf
193,man-mana bhava mad-bhakto mad-yaji mam namaskuru,man-manā bhava mad-bhakto mad-yājī māṁ namaskuru,man-mana bhava mad-bhakto mad-yaji mam namaskuru,pdf
194,mam evaisyasi yuktvaivam atmanam mat-parayanah,mām evaiṣyasi yuktvaivam ātmānaṁ mat-parāyaṇaḥ,mam evaiśyasi yuktvaivaṁ atmanaṁ mat-parayanaḥ,pdf
195,na me viduh sura-ganah prabhavam na maharsayah,na me viduḥ sura-gaṇāḥ prabhavaṁ na maharṣayaḥ,na me viduḥ sura-ganaḥ prabhavaṁ na maharṣayaḥ,pdf
196,aham adir hi devanam maharsinam ca sarvasah,aham ādir hi devānāṁ maharṣīṇāṁ ca sarvaśaḥ,ahaṁ adir hi devanaṁ maharṣinaṁ ca sarvasaḥ,pdf
197,aham sarvasya prabhavo mattah sarvam pravartate,ahaṁ sarvasya prabhavo mattaḥ sarvaṁ pravartate,ahaṁ sarvasya prabhavo mattaḥ sarvam pravartate,pdf
198,iti matva bhajante mam budha bhava-samanvitah,iti matvā bhajante māṁ budhā bhāva-samanvitāḥ,iti matva bhajante mam budha bhava-samanvitaḥ,pdf
199,mac-citta mad-gata-prana bodhayantah parasparam,mac-cittā mad-gata-prāṇā bodhayantaḥ parasparam,mac-citta mad-gata-praṇa bodhayantaḥ parasparam,pdf
200,kathayantas ca mam nityam tusyanti ca ramanti ca,kathayantaś ca māṁ nityaṁ tuṣyanti ca ramanti ca,kathayantas ca mam nityaṁ tuṣyanti ca ramanti ca,pdf
201,tesam satata-yuktanam bhajatam priti-purvakam,teṣāṁ satata-yuktānāṁ bhajatāṁ prīti-pūrvakam,teṣaṁ satata-yuktanaṁ bhajatam priti-purvakam,pdf
202,dadami buddhi-yogam tam yena mam upayanti te,dadāmi buddhi-yogaṁ taṁ yena mām upayānti te,dadaṁi buddhi-yogam tam yena mam upayanti te,pdf
203,tesam evanukampartham aham ajfana-jam tamah,teṣām evānukampārtham aham ajñāna-jaṁ tamaḥ,teṣaṁ evanukamparthaṁ aham ajjana-jam tamaḥ,pdf
204,nasayamy atma-bhava-stho bhasvata,nāśayāmy ātma-bhāva-stho jñāna-dīpena bhāsvatā,nasayaṁy atma-bhava-stho bhasvata,pdf
205,arjuna uvaca,arjuna uvāca,arjunā uvāca,pdf
206,param brahma param dhama pavitram paramam bhavan,paraṁ brahma paraṁ dhāma pavitraṁ paramaṁ bhavān,param bṛahma param dhama pavitram paramaṁ bhavan,pdf
207,purusam sasvatam divyam adi-devam ajam vibhum,puruṣaṁ śāśvataṁ divyam ādi-devam ajaṁ vibhum,puruṣaṁ sasvataṁ divyaṁ adi-devaṁ ajam vibhum,pdf
208,ahus tvam rsayah sarve devarsir naradas tatha,āhus tvām ṛṣayaḥ sarve devarṣir nāradas tathā,ahuṣ tvaṁ rṣayaḥ sarve devarṣir naradas tatha,pdf
209,asito devalo vyasah svayam caiva bravisi me,asito devalo vyāsaḥ svayaṁ caiva bravīṣi me,asito devalo vyasaḥ svayaṁ caiva bṛaviṣi me,pdf
210,sarvam etad rtam manye yan mam vadasi kesava,sarvam etad ṛtaṁ manye yan māṁ vadasi keśava,sarvaṁ etad rtam manye yan mam vadasi keṣava,pdf
211,na hi te bhagavan vyaktim vidur deva na danavah,na hi te bhagavan vyaktiṁ vidur devā na dānavāḥ,na hi te bhagavan vyaktim vidur deva na danavaḥ,pdf
212,mrtyuh sarva-haras caham udbhavas ca bhavisyatam,mṛtyuḥ sarva-haraś cāham udbhavaś ca bhaviṣyatām,mṛtyuḥ sarva-haras cahaṁ udbhavas ca bhaviṣyatam,pdf
213,sarva-yonisu kaunteya murtayah sambhavanti yah,sarva-yoniṣu kaunteya mūrtayaḥ sambhavanti yāḥ,sarva-yoniṣu kaunteya murtayaḥ sambhavanti yaḥ,pdf
214,tasam brahma mahad yonir aham bija-pradah pita,tāsāṁ brahma mahad yonir ahaṁ bīja-pradaḥ pitā,tasaṁ bṛahma mahad yonir aham bija-pradaḥ pita,pdf
215,urdhvam gacchanti sattva-stha madhye tisthanti rajasah,ūrdhvaṁ gacchanti sattva-sthā madhye tiṣṭhanti rājasāḥ,urdhvaṁ gacchanti sattva-stha madhye tiṣṭhanti rajasaḥ,pdf
216,jaghanya-guna-vrtti-stha adho gacchanti tamasah,jaghanya-guṇa-vṛtti-sthā adho gacchanti tāmasāḥ,jaghanya-guṇa-vrtti-sṭha adho gacchanti tamasaḥ,pdf
217,mam ca yo 'vyabhicarena bhakti-yogena sevate,māṁ ca yo ’vyabhicāreṇa bhakti-yogena sevate,mam ca yo ’vyabhicareṇa bhakti-yogena sevate,pdf
218,sa gunan samatityaitan brahma-bhuyaya kalpate,sa guṇān samatītyaitān brahma-bhūyāya kalpate,sa guṇan samatityaitan bṛahma-bhuyaya kalpate,pdf
219,brahmano hi pratisthaham amrtasyavyayasya ca,brahmaṇo hi pratiṣṭhāham amṛtasyāvyayasya ca,brahmaṇo hi pratiṣṭhaḥaṁ amrtasyavyayasya ca,pdf
220,sasvatasya ca dharmasya sukhasyaikantikasya ca,śāśvatasya ca dharmasya sukhasyaikāntikasya ca,sasvatasya ca dharmasya sukhasyaikantikasya ca,pdf
221,sri bhagavan uvaca,śrī-bhagavān uvāca,srī bhagavan uvaca,pdf
222,urdhva-malam adhah-sakham asvattham prahur avyayam,ūrdhva-mūlam adhaḥ-śākham aśvatthaṁ prāhur avyayam,urdhva-malaṁ adhaḥ-sakham asvatthaṁ prahur avyayaṁ,pdf
223,chandamsi yasya parnani yas tam veda sa veda-vit,chandāṁsi yasya parṇāni yas taṁ veda sa veda-vit,chandamsi yasya parṇani yas tam veda sa veda-vit,pdf
224,na tad bhasayate suryo na sasanko na pavakah,na tad bhāsayate sūryo na śaśāṅko na pāvakaḥ,na tad bhasayate suryo na sasanko na pavakaḥ,pdf
225,yad gatva na nivartante tad dhama paramam mama,yad gatvā na nivartante tad dhāma paramaṁ mama,yad gatva na nivartante tad dhama paramaṁ mama,pdf
226,mamaivamso jiva-loke jiva-bhutah sanatanah,mamaivāṁśo jīva-loke jīva-bhūtaḥ sanātanaḥ,mamaivaṁso jiva-loke jiva-bhutaḥ sanatanaḥ,pdf
227,manah sasthanindriyani prakrti-sthani karsati,manaḥ-ṣaṣṭhānīndriyāṇi prakṛti-sthāni karṣati,manaḥ sasthanindriyani prakṛti-sṭhani karṣati,pdf
228,sarvasya caham hrdi sannvistho,sarvasya cāhaṁ hṛdi sanniviṣṭo,sarvasya cahaṁ hrdi sannviṣṭho,pdf
229,mattah smrtir jfianam apohanam ca,mattaḥ smṛtir jñānam apohanaṁ ca,mattaḥ smṛtir jjianaṁ apohanaṁ ca,pdf
230,vedais ca sarvair aham eva vedyo,vedaiś ca sarvair aham eva vedyo,vedaiś ca sarvair aham eva vedyo,pdf
231,vedanta-krd veda-vid eva caham,vedānta-kṛd veda-vid eva cāham,vedanta-kṛd veda-vid eva cahaṁ,pdf
232,yo mam evam asammiudho janati purusottamam,yo mām evam asammūḍho jānāti puruṣottamam,yo mam evaṁ asammiudho janati puruṣottamaṁ,pdf
233,sa sarva-vid bhajati mam sarva-bhavena bharata,sa sarva-vid bhajati māṁ sarva-bhāvena bhārata,sa sarva-vid bhajati mam sarva-bhavena bharata,pdf
234,$ri-bhagavan uvaca,śrī-bhagavān uvāca,śrī-bhagavan uvaca,pdf
235,abhayam sattva-samsuddhir jfana-yoga-vyavasthitih,abhayaṁ sattva-saṁśuddhir jñāna-yoga-vyavasthitiḥ,abhayaṁ sattva-samsuddhir jjana-yoga-vyavasthitiḥ,pdf
236,danam damas ca yajfias ca svadhyayas tapa arjavam,dānaṁ damaś ca yajñaś ca svādhyāyas tapa ārjavam,danaṁ damas ca yajjias ca svadhyayas tapa arjavaṁ,pdf
237,ahimsa satyam akrodhas tyagah santir apaisunam,ahiṁsā satyam akrodhas tyāgaḥ śāntir apaiśunam,ahiṁsa satyaṁ akṛodhas tyagaḥ santir apaiśunaṁ,pdf
238,daya bhutesyv aloluptvam mardavam hrir acapalam,dayā bhūteṣv aloluptvaṁ mārdavaṁ hrīr acāpalam,daya bhuteṣyv aloluptvaṁ mardavaṁ hrir acapalaṁ,pdf
239,tejah ksama dhrtih saucam adroho nati-manita,tejaḥ kṣamā dhṛtiḥ śaucam adroho nāti-mānitā,tejaḥ kṣama dhrtiḥ saucaṁ adroho nati-manita,pdf
240,bhavanti sampadam daivim abhijatasya bharata,bhavanti sampadaṁ daivīm abhijātasya bhārata,bhavanti sampadaṁ daivim abhijatasya bharata,pdf
241,pravrttim ca nivrttim ca jana na vidur asurah,pravṛttiṁ ca nivṛttiṁ ca janā na vidur āsurāḥ,pravrttiṁ ca nivrttim ca jana na vidur asuraḥ,pdf
242,na saucam napi cacaro na satyam tesu vidyate,na śaucaṁ nāpi cācāro na satyaṁ teṣu vidyate,na saucaṁ napi cacaro na satyaṁ teṣu vidyate,pdf
243,asatyam apratistham te jagad ahur anisvaram,asatyam apratiṣṭhaṁ te jagad āhur anīśvaram,asatyaṁ apratiṣṭhaṁ te jagad ahur aniṣvaram,pdf
244,aparaspara-sambhutam kim anyat kama-haitukam,aparaspara-sambhūtaṁ kim anyat kāma-haitukam,aparaspara-sambhutam kim anyat kama-haitukam,pdf
245,etam drstim avastabhya nastatmano 'ipa-buddhayah,etāṁ dṛṣṭim avaṣṭabhya naṣṭātmāno ’lpa-buddhayaḥ,etaṁ drṣṭim avastabhya nastatmano ’ipa-buddhayaḥ,pdf
246,prabhavanty ugra-karmanah ksayaya jagato 'hitah,prabhavanty ugra-karmāṇaḥ kṣayāya jagato ’hitāḥ,prabhavanty ugra-karmaṇaḥ kṣayaya jagato ’hitaḥ,pdf
247,tri-vidham narakasyedam dvaram nasanam atmanah,tri-vidhaṁ narakasyedaṁ dvāraṁ nāśanam ātmanaḥ,tri-vidhaṁ narakasyedam dvaram nasanaṁ atmanaḥ,pdf
248,kamah krodhas tatha lobhas tasmad etat trayam tyajet,kāmaḥ krodhas tathā lobhas tasmād etat trayaṁ tyajet,kamaḥ kṛodhas tatha lobhas tasmad etat trayaṁ tyajet,pdf
249,yah sastra-vidhim utsrjya vartate kama-karatah,yaḥ śāstra-vidhim utsṛjya vartate kāma-kārataḥ,yaḥ sastra-vidhim utsrjya vartate kama-karataḥ,pdf
250,na sa siddhim avapnoti na sukham na param gatim,na sa siddhim avāpnoti na sukhaṁ na parāṁ gatim,na sa siddhim avapnoti na sukham na param gatim,pdf
251,samo damas tapah saucam ksantir arjavam eva ca,śamo damas tapaḥ śaucaṁ kṣāntir ārjavam eva ca,samo damas tapaḥ saucaṁ kṣaṇtir arjavaṁ eva ca,pdf
252,jmanam vijmanam astikyam brahma-karma svabhava-jam,jñānaṁ vijñānam āstikyaṁ brahma-karma svabhāva-jam,jmanaṁ vijmanaṁ astikyaṁ bṛahma-karma svabhava-jam,pdf
253,sauryam tejo dhrtir daksyam yuddhe capy apalayanam,śauryaṁ tejo dhṛtir dākṣyaṁ yuddhe cāpy apalāyanam,sauryaṁ tejo dhrtir dakṣyaṁ yuddhe capy apalayanaṁ,pdf
254,danam isvara-bhavas ca ksatram karma svabhava-jam,dānam īśvara-bhāvaś ca kṣātraṁ karma svabhāva-jam,danaṁ iśvara-bhavas ca kṣatram karma svabhava-jam,pdf
255,krsi-go-raksya-vanijyam vaisya-karma svabhava-jam,kṛṣi-go-rakṣya-vāṇijyaṁ vaiśya-karma svabhāva-jam,kṛṣi-go-rakṣya-vanijyaṁ vaiśya-karma svabhava-jam,pdf
256,paricaryatmakam karma sudrasyapi svabhava-jam,paricaryātmakaṁ karma śūdrasyāpi svabhāva-jam,paricaryatmakam karma sudrasyapi svabhava-jam,pdf
257,sve sve karmany abhiratah samsiddhim labhate narah,sve sve karmaṇy abhirataḥ saṁsiddhiṁ labhate naraḥ,sve sve karmaṇy abhirataḥ samsiddhim labhate naraḥ,pdf
258,sva-karma-niratah siddhim yatha vindati tac chrnu,sva-karma-nirataḥ siddhiṁ yathā vindati tac chṛṇu,sva-karma-nirataḥ siddhim yatha vindati tac chrṇu,pdf
259,yatah pravrttir bhuitanam yena sarvam idam tatam,yataḥ pravṛttir bhūtānāṁ yena sarvam idaṁ tatam,yataḥ pravrttir bhuitanaṁ yena sarvam idam tatam,pdf
260,sva-karmana tam abhyarcya siddhim vindati manavah,sva-karmaṇā tam abhyarcya siddhiṁ vindati mānavaḥ,sva-karmaṇa tam abhyarcya siddhim vindati manavaḥ,pdf
261,brahma-bhutah prasannatma na socati na kanksati,brahma-bhūtaḥ prasannātmā na śocati na kāṅkṣati,brahma-bhutaḥ prasannatma na socati na kankṣati,pdf
262,samah sarvesu bhutesu mad-bhaktim labhate param,samaḥ sarveṣu bhūteṣu mad-bhaktiṁ labhate parām,samah sarveṣu bhuteṣu mad-bhaktiṁ labhate param,pdf
263,bhaktya mam abhijanati yavan yas casmi tattvatah,bhaktyā mām abhijānāti yāvān yaś cāsmi tattvataḥ,bhaktya mam abhijanati yavan yas casmi tattvataḥ,pdf
264,tato mam tattvato jmatva visate tad-anantaram,tato māṁ tattvato jñātvā viśate tad-anantaram,tato mam tattvato jmatva viśate tad-anantaram,pdf
265,isvarah sarva-bhutanam hrd-dese 'rjuna tisthati,īśvaraḥ sarva-bhūtānāṁ hṛd-deśe ’rjuna tiṣṭhati,iśvaraḥ sarva-bhutanaṁ hrd-deṣe ’rjuna tiṣṭhati,pdf
266,bhramayan sarva-bhutani yantrarudhani mayaya,bhrāmayan sarva-bhūtāni yantrārūḍhāni māyayā,bhramayan sarva-bhutani yantrarudhani mayaya,pdf
267,iti te jiaanam akhyatam guhyad guhyataram maya,iti te jñānam ākhyātaṁ guhyād guhya-taraṁ mayā,iti te jiaanāṁ akhyatam guhyad guhyataram maya,pdf
268,vimrsyaitad asesena yathecchasi tatha kuru,vimṛśyaitad aśeṣeṇa yathecchasi tathā kuru,vimrṣyaitad aseṣena yathecchasi tatha kuru,pdf
269,man-mana bhava mad-bhakto mad-yaji mam namaskuru,man-manā bhava mad-bhakto mad-yājī māṁ namaskuru,man-mana bhava mad-bhakto mad-yaji mam namaskuru,pdf
270,mam evaisyasi satyam te pratijane priyo 'si me,mām evaiṣyasi satyaṁ te pratijāne priyo ’si me,mam evaiśyasi satyaṁ te pratijane priyo ’si me,pdf
271,sarva-dharman parityajya mam ekam saranam vraja,sarva-dharmān parityajya mām ekaṁ śaraṇaṁ vraja,sarva-dharmaṇ parityajya mam ekam saraṇaṁ vṛaja,pdf
272,aham tvam sarva-papebhyo moksayisyami ma sucah,ahaṁ tvāṁ sarva-pāpebhyo mokṣayiṣyāmi mā śucaḥ,ahaṁ tvaṁ sarva-papebhyo mokṣayiṣyaṁi ma sucaḥ,pdf
273,ya idam paramam guhyam mad-bhaktesv abhidhasyati,ya idaṁ paramaṁ guhyaṁ mad-bhakteṣv abhidhāsyati,ya idam paramaṁ guhyaṁ mad-bhakteṣv abhidhasyati,pdf
274,bhaktim mayi param krtva mam evaisyaty asamsayah,bhaktiṁ mayi parāṁ kṛtvā mām evaiṣyaty asaṁśayaḥ,bhaktiṁ mayi param kṛtva mam evaiśyaty asamsayaḥ,pdf
275,na ca tasman manusyesu kascin me priya-krttamah,na ca tasmān manuṣyeṣu kaścin me priya-kṛttamaḥ,na ca tasman manuṣyeṣu kascin me priya-kṛttaṁaḥ,pdf
276,bhavita na ca me tasmad anyah priyataro bhuvi,bhavitā na ca me tasmād anyaḥ priya-taro bhuvi,bhavita na ca me tasmad anyaḥ priyataro bhuvi,pdf
277,arjuna uvaca,arjuna uvāca,arjunā uvāca,pdf
278,nasto mohah smrtir labdha tvat-prasadan mayacyuta,naṣṭo mohaḥ smṛtir labdhā tvat-prasādān mayācyuta,nasto mohaḥ smṛtir labdha tvat-prasadan mayacyuta,pdf
279,sthito 'smi gata-sandehah karisye vacanam tava,sthito ’smi gata-sandehaḥ kariṣye vacanaṁ tava,sthito ’smi gata-sandehaḥ kariṣye vacanaṁ tava,pdf
280,yatra yogesvarah krsno yatra partho dhanur-dharah,yatra yogeśvaraḥ kṛṣṇo yatra pārtho dhanur-dharaḥ,yatra yogeṣvaraḥ kṛṣṇo yatra partho dhanur-dharaḥ,pdf
281,tatra ssrir vijayo bhutir dhruva nitir matir mama,tatra śrīr vijayo bhūtir dhruvā nītir matir mama,tatra ssrīr vijayo bhutir dhruvā nitir matir mama,pdf
282,vifvam vierurvasatkiro,viśvaṁ viṣṇurvaṣaṭkārō ,viīvaṁ vierurvasatkiro,website
283,bhotabhavyathavatprabiuh,bhūtabhavyabhavatprabhuḥ,bhotabhavyathavatprabiuḥ,website
284,bhatalerd bharabhrdbhavo,bhūtakṛdbhūtabhṛdbhāvō ,bhatalerd bharabhrdbhavo,website
285,bhoriema bhorabhavanch,bhūtātmā bhūtabhāvanaḥ ,bhoriema bhorabhavanch,website
286,yaych purussh siket ksetrajfiothsara eva ca,avyayaḥ puruṣaḥ sākṣī kṣetrajñōkṣara eva ca,yaych puruṣsh siket kṣetrajjiothsara eva ca,website
287,yego yogavidam neta oradhanspurusefvarch,yōgō yōgavidāṁ netā pradhānapuruṣeśvaraḥ,yego yogavidaṁ neta oradhanspuruṣeīvarch,website
288,carvah éarvaly divah sthanur bhotadirnidhirevyaysh,sarvaḥ śarvaḥ śivaḥ sthāṇurbhūtādirnidhiravyayaḥ,carvah śarvaly divaḥ sthanur bhotadirṇidhirevyaysh,website
289,cambhavo bhavano thaa prabhuriévarch,saṁbhavō bhāvanō bhartā prabhavaḥ prabhurīśvaraḥ,cambhavo bhavano thaa prabhuriśvarch,website
290,cvayambhoh puskarakso mahsvansh,svayaṁbhūḥ śaṁbhurādityaḥ puṣkarākṣō mahāsvanaḥ,cvayaṁbhoh puṣkarakṣo mahsvansh,website
291,madinidhano dhata vidhara dhatururtamsh,anādinidhanō dhātā vidhātā dhāturuttamaḥ,madinidhano dhata vidhara dhatururtamsh,website
292,iprameyo hrsikelsh padmansbho'mareprablich,aprameyō hṛṣīkeśaḥ padmanābhōmaraprabhuḥ,iprameyo hrṣikelṣh padmansbho’mareprablich,website
293,vifvakarma manustvasta thavisthah sthaviro dhruvah,viśvakarmā manusvtaṣṭā sthaviṣṭhassthavirō dhruvaḥ,viīvakarma manuṣṭvasta thaviśṭhaḥ sthaviro dhruvāḥ,website
294,erhysh sifvato krsno ichitalssh praterdanch,agrāhyaḥ śāśvataḥ kṛṣṇō lōhitākṣaḥ pratardanaḥ,erhyṣh siīvato kṛṣṇo ichitalssh praterdanch,website
295,orabhotastrikekubdhams oavitrem mafealam param,prabhūtastrikakubdhāma pavitraṁ maṁgalaṁ param,orabhotastrikekubdhaṁs oavitrem maīealaṁ param,website
296,iandh prnadah prano fyesthah sresthsh prajipatih,īśānaḥ prāṇadaḥ prāṇō jyeṣṭhaḥ śreṣṭhaḥ prajāpatiḥ,iandh prṇadaḥ praṇo īyeṣṭhaḥ sreṣṭhṣh prajipatiḥ,website
297,hniranysgarbho bhogertho madhavo madhustdansh,hiraṇyagarbhō bhūgarbhō mādhavō madhusūdanaḥ,hniraṇyṣgarbho bhogertho madhavo madhuṣṭdansh,website
298,vikramee dhanvee medhavee vikramsh kramh,īśvarō vikramī dhanvī medhāvī vikramaḥ kramaḥ,vikṛamee dhanvee medhavee vikṛamsh kṛamh,website
299,imuttamo duradharssh letiraemavan,anuttamō durādharṣaḥ kṛtajñaḥ kṛtirātmavān,imuttaṁo duradharṣsh letiraemavan,website
300,dish samvatsaro vyalsh oratyayah sarvadardansh,ahaḥ saṁvatsarō vyālaḥ pratyayassarvadarśanaḥ,diṣh samvatsaro vyalśh oratyayaḥ sarvadardansh,website
301,visikapirameystma carvayceavinihsrtsh,vṛṣākapirameyātmā sarvayōgaviniḥsṛtaḥ,viśikapirameyṣṭma carvayceaviniḥśrtsh,website
302,vesurvasumanth satych camatma'sammitah sameh,vasurvasumanāḥ satyaḥ samātmā sammitaḥ samaḥ,veṣurvasumanth satych camatma’saṁmitaḥ sameh,website
303,amoghth pundartkakso vrsakarma,amōghaḥ puṇḍarīkākṣō vṛṣakarmā vṛṣākṛtiḥ,amoghth puṇdartkakṣo vṛṣakarma,website
