ids,sentences,OCR
1.17.24.2,iti pādāḥ kṛte kṛtāḥ,iti padah krte krtah
1.17.24.3,adharmāṁśais trayo bhagnāḥ,adharmamsais trayo bhagnah
1.17.24.4,smaya-saṅga-madais tava,smaya-sanga-madais tava
1.17.25.1,idānīṁ dharma pādas te,idanim dharma padas te
1.17.25.2,satyaṁ nirvartayed yataḥ,satyam nirvartayed yatah
1.17.25.3,taṁ jighṛkṣaty adharmo ’yam,tam jighrksaty adharmo 'yam
1.17.25.4,anṛtenaidhitaḥ kaliḥ,anrtenaidhitah kalih
1.17.26.1,iyaṁ ca bhūmir bhagavatā,yam ca bhumir bhagavata
1.17.26.2,nyāsitoru-bharā satī,nyasitoru-bhara sati
1.17.26.3,śrīmadbhis tat-pada-nyāsaiḥ,Ssrimadbhis tat-pada-nyasaih
1.17.26.4,sarvataḥ kṛta-kautukā,sarvatah krta-kautuka
1.17.27.1,śocaty aśru-kalā sādhvī,Ssocaty asru-kala sadhvi
1.17.27.2,durbhagevojjhitā satī,durbhagevoijjhita sati
1.17.27.3,abrahmaṇyā nṛpa-vyājāḥ,abrahmanya nrpa-vyajah
1.17.27.4,śūdrā bhokṣyanti mām iti,sudra bhoksyanti mam iti
1.17.28.1,iti dharmaṁ mahīṁ caiva,it dharmam mahim caiva
1.17.28.2,sāntvayitvā mahā-rathaḥ,santvayitva maha-rathah
1.17.28.3,niśātam ādade khaḍgaṁ,nisatam adade khadgam
1.17.28.4,kalaye ’dharma-hetave,kalaye 'dharma-hetave
1.17.29.1,taṁ jighāṁsum abhipretya,tam jighamsum abhipretya
1.17.29.2,vihāya nṛpa-lāñchanam,vihaya nrpa-lanchanam
1.17.29.3,tat-pāda-mūlaṁ śirasā,tat-pada-mulam Sirasa
1.17.29.4,samagād bhaya-vihvalaḥ,samagad bhaya-vihvalah
1.17.30.1,patitaṁ pādayor vīraḥ,patitam padayor virah
1.17.30.2,kṛpayā dīna-vatsalaḥ,krpaya dina-vatsalah
1.17.30.3,śaraṇyo nāvadhīc chlokya,Ssaranyo navadhic chlokya
1.17.30.4,āha cedaṁ hasann iva,aha cedam hasann iva
1.17.31.1,rājovāca,rajovaca
1.17.32.1,tvāṁ vartamānaṁ nara-deva-deheṣv,tvam vartamanam nara-deva-dehesy
1.17.32.2,anupravṛtto ’yam adharma-pūgaḥ,anupravrtto 'yam adharma-pugah
1.17.32.3,lobho ’nṛtaṁ cauryam anāryam aṁho,lobho 'nrtam cauryam anaryam amho
1.17.32.4,jyeṣṭhā ca māyā kalahaś ca dambhaḥ,jyestha ca maya kalahas ca dambhah
1.17.33.1,na vartitavyaṁ tad adharma-bandho,na vartitavyam tad adharma-bandho
1.17.33.2,dharmeṇa satyena ca vartitavye,dharmena satyena ca vartitavye
1.17.33.3,brahmāvarte yatra yajanti yajñair,brahmavarte yatra yajanti yajnair
1.17.33.4,yajñeśvaraṁ yajña-vitāna-vijñāḥ,yajnesvaram yajna-vitana-vijnah
1.17.34.1,yasmin harir bhagavān ijyamāna,yasmin harir bhagavan ijyamana
1.17.34.2,ijyātma-mūrtir yajatāṁ śaṁ tanoti,ijyatma-murtir yajatam sam tanoti
1.17.34.3,kāmān amoghān sthira-jaṅgamānām,kaman amoghan sthira-jangamanam
1.17.34.4,antar bahir vāyur ivaiṣa ātmā,antar bahir vayur ivaisa atma
1.17.35.1,sūta uvāca,suta uvaca
1.17.36.1,kalir uvāca,kalir uvaca
1.17.37.1,tan me dharma-bhṛtāṁ śreṣṭha,tan me dharma-bhrtam srestha
1.17.37.2,sthānaṁ nirdeṣṭum arhasi,sthanam nirdestum arhasi
1.17.37.3,yatraiva niyato vatsya,yatraiva niyato vatsya
1.17.37.4,ātiṣṭhaṁs te ’nuśāsanam,atisthams te 'nusasanam
1.17.38.1,sūta uvāca,suta uvaca
1.17.39.1,punaś ca yācamānāya,punas ca yacamanaya
1.17.39.2,jāta-rūpam adāt prabhuḥ,jata-rupam adat prabhuh
1.17.39.3,tato ’nṛtaṁ madaṁ kāmaṁ,tato 'nrtam madam kamam
1.17.39.4,rajo vairaṁ ca pañcamam,rajo vairam ca pancamam
1.17.40.1,amūni pañca sthānāni,amuni panca sthanani
1.17.40.2,hy adharma-prabhavaḥ kaliḥ,hy adharma-prabhavah kalih
1.17.40.3,auttareyeṇa dattāni,auttareyena dattani
1.17.40.4,nyavasat tan-nideśa-kṛt,nyavasat tan-nidesa-krt
1.17.41.1,athaitāni na seveta,athaitani na seveta
1.17.41.2,bubhūṣuḥ puruṣaḥ kvacit,bubhusuh purusah kvacit
1.17.41.3,viśeṣato dharma-śīlo,visesato dharma-silo
1.17.41.4,rājā loka-patir guruḥ,raja loka-patir guruh
1.17.42.1,vṛṣasya naṣṭāṁs trīn pādān,vrsasya nastams trin padan
1.17.42.2,tapaḥ śaucaṁ dayām iti,tapah saucam dayam iti
1.17.42.3,pratisandadha āśvāsya,pratisandadha asvasya
1.17.42.4,mahīṁ ca samavardhayat,mahim ca samavardhayat
1.17.43-44.1,sa eṣa etarhy adhyāsta,sa esa etarhy adhyasta
1.17.43-44.2,āsanaṁ pārthivocitam,asanam parthivocitam
1.17.43-44.3,pitāmahenopanyastaṁ,pitamahenopanyastam
1.17.43-44.4,rājñāraṇyaṁ vivikṣatā,rajnaranyam viviksata
1.17.45.1,ittham-bhūtānubhāvo ’yam,ittham-bhUatanubhavo 'yam
1.17.45.2,abhimanyu-suto nṛpaḥ,abhimanyu-suto nrpah
1.17.45.3,yasya pālayataḥ kṣauṇīṁ,yasya palayatah ksaunim
1.17.45.4,yūyaṁ satrāya dīkṣitāḥ,yuyam satraya diksitah
1.18.1.1,sūta uvāca,suta uvaca
1.18.2.1,brahma-kopotthitād yas tu,brahma-kopotthitad yas tu
1.18.2.2,takṣakāt prāṇa-viplavāt,taksakat prana-viplavat
1.18.2.3,na sammumohorubhayād,na sammumohorubhayad
1.18.2.4,bhagavaty arpitāśayaḥ,bhagavaty arpitasayah
1.18.3.1,utsṛjya sarvataḥ saṅgaṁ,utsrjya sarvatah sangam
1.18.3.2,vijñātājita-saṁsthitiḥ,viinatajita-samsthitih
1.18.3.3,vaiyāsaker jahau śiṣyo,vaiyasaker jahau sisyo
1.18.3.4,gaṅgāyāṁ svaṁ kalevaram,gangayam svam kalevaram
1.18.4.1,nottamaśloka-vārtānāṁ,nottamasloka-vartanam
1.18.4.2,juṣatāṁ tat-kathāmṛtam,jusatam tat-kathamrtam
1.18.4.3,syāt sambhramo ’nta-kāle ’pi,syat sambhramo 'nta-kale 'pi
1.18.4.4,smaratāṁ tat-padāmbujam,smaratam tat-padambuyjam
1.18.5.1,tāvat kalir na prabhavet,tavat kalir na prabhavet
1.18.5.2,praviṣṭo ’pīha sarvataḥ,pravisto 'piha sarvatah
1.18.5.3,yāvad īśo mahān urvyām,yavad 1so mahan urvyam
1.18.5.4,ābhimanyava eka-rāṭ,abhimanyava eka-rat
1.18.6.1,yasminn ahani yarhy eva,yasminn ahani yarhy eva
1.18.6.2,bhagavān utsasarja gām,bhagavan utsasarja gam
1.18.6.3,tadaivehānuvṛtto ’sāv,tadaivehanuyrtto 'sav
1.18.6.4,adharma-prabhavaḥ kaliḥ,adharma-prabhavah kalih
1.18.7.1,nānudveṣṭi kaliṁ samrāṭ,nanudvesti kalim samrat
1.18.7.2,sāraṅga iva sāra-bhuk,saranga iva sara-bhuk
1.18.7.3,kuśalāny āśu siddhyanti,kusalany asu siddhyanti
1.18.7.4,netarāṇi kṛtāni yat,netarani krtani yat
1.18.8.1,kiṁ nu bāleṣu śūreṇa,kim nu balesu surena
1.18.8.2,kalinā dhīra-bhīruṇā,kalina dhira-bhitruna
1.18.8.3,apramattaḥ pramatteṣu,apramattah pramattesu
1.18.8.4,yo vṛko nṛṣu vartate,yo vrko nrsu vartate
1.18.9.1,upavarṇitam etad vaḥ,upavarnitam etad vah
1.18.9.2,puṇyaṁ pārīkṣitaṁ mayā,punyam pariksitam maya
1.18.9.3,vāsudeva-kathopetam,vasudeva-kathopetam
1.18.9.4,ākhyānaṁ yad apṛcchata,akhyanam yad aprechata
1.18.10.1,yā yāḥ kathā bhagavataḥ,ya yah katha bhagavatah
1.18.10.2,kathanīyoru-karmaṇaḥ,kathantyoru-karmanah
1.18.10.3,guṇa-karmāśrayāḥ pumbhiḥ,guna-karmasrayah pumbhih
1.18.10.4,saṁsevyās tā bubhūṣubhiḥ,samsevyas ta bubhasubhih
1.18.11.1,ṛṣaya ūcuḥ,rsaya ucuh
1.18.12.1,karmaṇy asminn anāśvāse,karmany asminn anasvase
1.18.12.2,dhūma-dhūmrātmanāṁ bhavān,dhuma-dhaumratmanam bhavan
1.18.12.3,āpāyayati govinda-,apayayati govinda-
1.18.12.4,pāda-padmāsavaṁ madhu,pada-padmasavam madhu
1.18.13.1,tulayāma lavenāpi,tulayama lavenapi
1.18.13.2,na svargaṁ nāpunar-bhavam,na svargam napunar-bhavam
1.18.13.3,bhagavat-saṅgi-saṅgasya,bhagavat-sangi-sangasya
1.18.13.4,martyānāṁ kim utāśiṣaḥ,martyanam kim utasisah
1.18.14.1,ko nāma tṛpyed rasavit kathāyāṁ,ko nama trpyed rasavit kathayam
1.18.14.2,mahattamaikānta-parāyaṇasya,mahattamaikanta-parayanasya
1.18.14.3,nāntaṁ guṇānām aguṇasya jagmur,nantam gunanam agunasya jagmur
1.18.14.4,yogeśvarā ye bhava-pādma-mukhyāḥ,yogesvara ye bhava-padma-mukhyah
1.18.15.1,tan no bhavān vai bhagavat-pradhāno,tan no bhavan vai bhagavat-pradhano
1.18.15.2,mahattamaikānta-parāyaṇasya,mahattamaikanta-parayanasya
1.18.15.3,harer udāraṁ caritaṁ viśuddhaṁ,harer udaram caritam visuddham
1.18.15.4,śuśrūṣatāṁ no vitanotu vidvan,susrusatam no vitanotu vidvan
1.18.16.1,sa vai mahā-bhāgavataḥ parīkṣid,sa vai maha-bhagavatah pariksid
1.18.16.2,yenāpavargākhyam adabhra-buddhiḥ,yenapavargakhyam adabhra-buddhih
1.18.16.3,jñānena vaiyāsaki-śabditena,inanena vaiyasaki-Ssabditena
1.18.16.4,bheje khagendra-dhvaja-pāda-mūlam,bheje khagendra-dhvaja-pada-mulam
1.18.17.1,tan naḥ paraṁ puṇyam asaṁvṛtārtham,tan nah param punyam asamvrtartham
1.18.17.2,ākhyānam atyadbhuta-yoga-niṣṭham,akhyanam atyadbhuta-yoga-nistham
1.18.17.3,ākhyāhy anantācaritopapannaṁ,akhyahy anantacaritopapannam
1.18.17.4,pārīkṣitaṁ bhāgavatābhirāmam,pariksitam bhagavatabhiramam
1.18.18.1,sūta uvāca,suta uvaca
1.18.19.1,kutaḥ punar gṛṇato nāma tasya,kutah punar grnato nama tasya
1.18.19.2,mahattamaikānta-parāyaṇasya,mahattamaikanta-parayanasya
1.18.19.3,yo ’nanta-śaktir bhagavān ananto,yo 'nanta-Saktir bhagavan ananto
1.18.19.4,mahad-guṇatvād yam anantam āhuḥ,mahad-gunatvad yam anantam ahuh
1.18.20.1,etāvatālaṁ nanu sūcitena,etavatalam nanu sucitena
1.18.20.2,guṇair asāmyānatiśāyanasya,gunair asamyanatisayanasya
1.18.20.3,hitvetarān prārthayato vibhūtir,hitvetaran prarthayato vibhatir
1.18.20.4,yasyāṅghri-reṇuṁ juṣate ’nabhīpsoḥ,yasyanghri-renum jusate 'nabhipsoh
1.18.21.1,athāpi yat-pāda-nakhāvasṛṣṭaṁ,athapi yat-pada-nakhavasrstam
1.18.21.2,jagad viriñcopahṛtārhaṇāmbhaḥ,jagad virincopahrtarhanambhah
1.18.21.3,seśaṁ punāty anyatamo mukundāt,sesam punaty anyatamo mukundat
1.18.21.4,ko nāma loke bhagavat-padārthaḥ,ko nama loke bhagavat-padarthah
1.18.22.1,yatrānuraktāḥ sahasaiva dhīrā,yatranuraktah sahasaiva dhira
1.18.22.2,vyapohya dehādiṣu saṅgam ūḍham,vyapohya dehadisu sangam udham
1.18.22.3,vrajanti tat pārama-haṁsyam antyaṁ,vrajanti tat parama-hamsyam antyam
1.18.22.4,yasminn ahiṁsopaśamaḥ sva-dharmaḥ,yasminn ahimsopasamah sva-dharmah
1.18.23.1,ahaṁ hi pṛṣṭo ’ryamaṇo bhavadbhir,aham hi prsto 'ryamano bhavadbhir
1.18.23.2,ācakṣa ātmāvagamo ’tra yāvān,acaksa atmavagamo 'tra yavan
1.18.23.3,nabhaḥ patanty ātma-samaṁ patattriṇas,nabhah patanty atma-samam patattrinas
1.18.23.4,tathā samaṁ viṣṇu-gatiṁ vipaścitaḥ,tatha samam visnu-gatim vipascitah
1.18.24-25.1,ekadā dhanur udyamya,ekada dhanur udyamya
1.18.24-25.2,vicaran mṛgayāṁ vane,vicaran mrgayam vane
1.18.24-25.3,mṛgān anugataḥ śrāntaḥ,mrgan anugatah srantah
1.18.24-25.4,kṣudhitas tṛṣito bhṛśam,ksudhitas trsito bhrésam
1.18.26.1,pratiruddhendriya-prāṇa-,pratiruddhendriya-prana-
1.18.26.2,mano-buddhim upāratam,mano-buddhim uparatam
1.18.26.3,sthāna-trayāt paraṁ prāptaṁ,sthana-trayat param praptam
1.18.26.4,brahma-bhūtam avikriyam,brahma-bhatam avikriyam
1.18.27.1,viprakīrṇa-jaṭācchannaṁ,viprakirna-jatacchannam
1.18.27.2,rauraveṇājinena ca,rauravenajinena ca
1.18.27.3,viśuṣyat-tālur udakaṁ,visusyat-talur udakam
1.18.27.4,tathā-bhūtam ayācata,tatha-bhutam ayacata
1.18.28.1,alabdha-tṛṇa-bhūmy-ādir,alabdha-trna-bhamy-adir
1.18.28.2,asamprāptārghya-sūnṛtaḥ,asampraptarghya-sunrtah
1.18.28.3,avajñātam ivātmānaṁ,avajnatam ivatmanam
1.18.28.4,manyamānaś cukopa ha,manyamanas cukopa ha
1.18.29.1,abhūta-pūrvaḥ sahasā,abhuata-purvah sahasa
1.18.29.2,kṣut-tṛḍbhyām arditātmanaḥ,ksut-trdbhyam arditatmanah
1.18.29.3,brāhmaṇaṁ praty abhūd brahman,brahmanam praty abhad brahman
1.18.29.4,matsaro manyur eva ca,matsaro manyur eva ca
1.18.30.1,sa tu brahma-ṛṣer aṁse,sa tu brahma-rser amse
1.18.30.2,gatāsum uragaṁ ruṣā,gatasum uragam rusa
1.18.30.3,vinirgacchan dhanuṣ-koṭyā,vinirgacchan dhanus-kotya
1.18.30.4,nidhāya puram āgataḥ,nidhaya puram agatah
1.18.31.1,eṣa kiṁ nibhṛtāśeṣa-,esa kim nibhrtasesa-
1.18.31.2,karaṇo mīlitekṣaṇaḥ,karano militeksanah
1.18.31.3,mṛṣā-samādhir āhosvit,mrsa-samadhir ahosvit
1.18.31.4,kiṁ nu syāt kṣatra-bandhubhiḥ,kim nu syat ksatra-bandhubhih
1.18.32.1,tasya putro ’titejasvī,tasya putro 'titejasvi
1.18.32.2,viharan bālako ’rbhakaiḥ,viharan balako 'rbhakaih
1.18.32.3,rājñāghaṁ prāpitaṁ tātaṁ,rajnagham prapitam tatam
1.18.32.4,śrutvā tatredam abravīt,Srutva tatredam abravit
1.18.33.1,aho adharmaḥ pālānāṁ,aho adharmah palanam
1.18.33.2,pīvnāṁ bali-bhujām iva,pivnam bali-bhujam iva
1.18.33.3,svāminy aghaṁ yad dāsānāṁ,svaminy agham yad dasanam
1.18.33.4,dvāra-pānāṁ śunām iva,dvara-panam sunam iva
1.18.34.1,brāhmaṇaiḥ kṣatra-bandhur hi,brahmanaih ksatra-bandhur hi
1.18.34.2,gṛha-pālo nirūpitaḥ,grha-palo nirupitah
1.18.34.3,sa kathaṁ tad-gṛhe dvāḥ-sthaḥ,sa katham tad-grhe dvah-sthah
1.18.34.4,sabhāṇḍaṁ bhoktum arhati,sabhandam bhoktum arhati
1.18.35.1,kṛṣṇe gate bhagavati,krsne gate bhagavati
1.18.35.2,śāstary utpatha-gāminām,Ssastary utpatha-gaminam
1.18.35.3,tad bhinna-setūn adyāhaṁ,tad bhinna-setun adyaham
1.18.35.4,śāsmi paśyata me balam,sasmi pasyata me balam
1.18.36.1,ity uktvā roṣa-tāmrākṣo,ity uktva rosa-tamrakso
1.18.36.2,vayasyān ṛṣi-bālakaḥ,vayasyan rsi-balakah
1.18.36.3,kauśiky-āpa upaspṛśya,kausiky-apa upasprésya
1.18.36.4,vāg-vajraṁ visasarja ha,vag-vajram visasarja ha
1.18.37.1,iti laṅghita-maryādaṁ,iti larnghita-maryadam
1.18.37.2,takṣakaḥ saptame ’hani,taksakah saptame 'hani
1.18.37.3,daṅkṣyati sma kulāṅgāraṁ,danksyati sma kulangaram
1.18.37.4,codito me tata-druham,codito me tata-druham
1.18.38.1,tato ’bhyetyāśramaṁ bālo,tato 'bhyetyasramam balo
1.18.38.2,gale sarpa-kalevaram,gale sarpa-kalevaram
1.18.38.3,pitaraṁ vīkṣya duḥkhārto,pitaram viksya duhkharto
1.18.38.4,mukta-kaṇṭho ruroda ha,mukta-kantho ruroda ha
1.18.39.1,sa vā āṅgiraso brahman,sa va angiraso brahman
1.18.39.2,śrutvā suta-vilāpanam,Srutva suta-vilapanam
1.18.39.3,unmīlya śanakair netre,unmilya Ssanakair netre
1.18.39.4,dṛṣṭvā cāṁse mṛtoragam,drstva camse mrtoragam
1.18.40.1,visṛjya taṁ ca papraccha,visrya tam ca papraccha
1.18.40.2,vatsa kasmād dhi rodiṣi,vatsa kasmad dhi rodisi
1.18.40.3,kena vā te ’pakṛtam,kena va te 'pakrtam
1.18.40.4,ity uktaḥ sa nyavedayat,ity uktah sa nyavedayat
1.18.41.1,niśamya śaptam atad-arhaṁ narendraṁ,nisamya saptam atad-arham narendram
1.18.41.2,sa brāhmaṇo nātmajam abhyanandat,sa brahmano natmajam abhyanandat
1.18.41.3,aho batāṁho mahad adya te kṛtam,aho batamho mahad adya te krtam
1.18.41.4,alpīyasi droha urur damo dhṛtaḥ,alpryasi droha urur damo dhrtah
1.18.42.1,na vai nṛbhir nara-devaṁ parākhyaṁ,na vai nrbhir nara-devam parakhyam
1.18.42.2,sammātum arhasy avipakva-buddhe,sammatum arhasy avipakva-buddhe
1.18.42.3,yat-tejasā durviṣaheṇa guptā,yat-tejasa durvisahena gupta
1.18.42.4,vindanti bhadrāṇy akutobhayāḥ prajāḥ,vindanti bhadrany akutobhayah prajah
1.18.43.1,alakṣyamāṇe nara-deva-nāmni,alaksyamane nara-deva-namni
1.18.43.2,rathāṅga-pāṇāv ayam aṅga lokaḥ,rathanga-panav ayam anga lokah
1.18.43.3,tadā hi caura-pracuro vinaṅkṣyaty,tada hi caura-pracuro vinanksyaty
1.18.43.4,arakṣyamāṇo ’vivarūthavat kṣaṇāt,araksyamano 'vivaruthavat ksanat
1.18.44.1,tad adya naḥ pāpam upaity ananvayaṁ,tad adya nah papam upaity ananvayam
1.18.44.2,yan naṣṭa-nāthasya vasor vilumpakāt,yan nasta-nathasya vasor vilumpakat
1.18.44.3,parasparaṁ ghnanti śapanti vṛñjate,parasparam ghnanti sapanti vrhnjate
1.18.44.4,paśūn striyo ’rthān puru-dasyavo janāḥ,pasun striyo 'rthan puru-dasyavo janah
1.18.45.1,tadārya-dharmaḥ pravilīyate nṛṇāṁ,tadarya-dharmah praviltyate nrnam
1.18.45.2,varṇāśramācāra-yutas trayīmayaḥ,varnasramacara-yutas trayimayah
1.18.45.3,tato ’rtha-kāmābhiniveśitātmanāṁ,tato 'rtha-kamabhinivesitatmanam
1.18.45.4,śunāṁ kapīnām iva varṇa-saṅkaraḥ,sunam kapinam iva varna-sankarah
1.18.46.1,dharma-pālo nara-patiḥ,dharma-palo nara-patih
1.18.46.2,sa tu samrāḍ bṛhac-chravāḥ,sa tu samrad brhac-chravah
1.18.46.3,sākṣān mahā-bhāgavato,saksan maha-bhagavato
1.18.46.4,rājarṣir haya-medhayāṭ,rajarsir haya-medhayat
1.18.46.5,kṣut-tṛṭ-śrama-yuto dīno,ksut-trt-Ssrama-yuto dino
1.18.46.6,naivāsmac chāpam arhati,naivasmac chapam arhati
1.18.47.1,apāpeṣu sva-bhṛtyeṣu,apapesu sva-bhrtyesu
1.18.47.2,bālenāpakva-buddhinā,balenapakva-buddhina
1.18.47.3,pāpaṁ kṛtaṁ tad bhagavān,papam krtam tad bhagavan
1.18.47.4,sarvātmā kṣantum arhati,sarvatma ksantum arhati
1.18.48.1,tiraskṛtā vipralabdhāḥ,tiraskrta vipralabdhah
1.18.48.2,śaptāḥ kṣiptā hatā api,Ssaptah ksipta hata api
1.18.48.3,nāsya tat pratikurvanti,nasya tat pratikurvanti
1.18.48.4,tad-bhaktāḥ prabhavo ’pi hi,tad-bhaktah prabhavo 'pi hi
1.18.49.1,iti putra-kṛtāghena,iti putra-krtaghena
1.18.49.2,so ’nutapto mahā-muniḥ,so 'nutapto maha-munih
1.18.49.3,svayaṁ viprakṛto rājñā,svayam viprakrto rajna
1.18.49.4,naivāghaṁ tad acintayat,naivagham tad acintayat
1.18.50.1,prāyaśaḥ sādhavo loke,prayasah sadhavo loke
1.18.50.2,parair dvandveṣu yojitāḥ,parair dvandvesu yojitah
1.18.50.3,na vyathanti na hṛṣyanti,na vyathanti na hrsyanti
1.18.50.4,yata ātmā ’guṇāśrayaḥ,yata atma 'gunasrayah
1.19.1.1,sūta uvāca,suta uvaca
1.19.2.1,dhruvaṁ tato me kṛta-deva-helanād,dhruvam tato me krta-deva-helanad
1.19.2.2,duratyayaṁ vyasanaṁ nāti-dīrghāt,duratyayam vyasanam nati-dirghat
1.19.2.3,tad astu kāmaṁ hy agha-niṣkṛtāya me,tad astu kamam hy agha-niskrtaya me
1.19.2.4,yathā na kuryāṁ punar evam addhā,yatha na kuryam punar evam addha
1.19.3.1,adyaiva rājyaṁ balam ṛddha-kośaṁ,adyaiva rajyam balam rddha-kosam
1.19.3.2,prakopita-brahma-kulānalo me,prakopita-brahma-kulanalo me
1.19.3.3,dahatv abhadrasya punar na me ’bhūt,dahatv abhadrasya punar na me 'bhut
1.19.3.4,pāpīyasī dhīr dvija-deva-gobhyaḥ,papiyast dhir dvija-deva-gobhyah
1.19.4.1,sa cintayann ittham athāśṛṇod yathā,sa cintayann ittham athasrnod yatha
1.19.4.2,muneḥ sutokto nirṛtis takṣakākhyaḥ,muneh sutokto nirrtis taksakakhyah
1.19.4.3,sa sādhu mene na cireṇa takṣakā-,sa sadhu mene na cirena taksaka-
1.19.4.4,nalaṁ prasaktasya virakti-kāraṇam,nalam prasaktasya virakti-karanam
1.19.5.1,atho vihāyemam amuṁ ca lokaṁ,atho vihayemam amum ca lokam
1.19.5.2,vimarśitau heyatayā purastāt,vimar§itau heyataya purastat
1.19.5.3,kṛṣṇāṅghri-sevām adhimanyamāna,krsnanghri-sevam adhimanyamana
1.19.5.4,upāviśat prāyam amartya-nadyām,upavisat prayam amartya-nadyam
1.19.6.1,yā vai lasac-chrī-tulasī-vimiśra-,ya vai lasac-chri-tulast-vimigsra-
1.19.6.2,kṛṣṇāṅghri-reṇv-abhyadhikāmbu-netrī,krsnanghri-renv-abhyadhikambu-netri
1.19.6.3,punāti lokān ubhayatra seśān,punati lokan ubhayatra sesan
1.19.6.4,kas tāṁ na seveta mariṣyamāṇaḥ,kas tam na seveta marisyamanah
1.19.7.1,iti vyavacchidya sa pāṇḍaveyaḥ,iti vyavacchidya sa pandaveyah
1.19.7.2,prāyopaveśaṁ prati viṣṇu-padyām,prayopavesam prati visnu-padyam
1.19.7.3,dadhau mukundāṅghrim ananya-bhāvo,dadhau mukundarnighrim ananya-bhavo
1.19.7.4,muni-vrato mukta-samasta-saṅgaḥ,muni-vrato mukta-samasta-sangah
1.19.8.1,tatropajagmur bhuvanaṁ punānā,tatropajagmur bhuvanam punana
1.19.8.2,mahānubhāvā munayaḥ sa-śiṣyāḥ,mahanubhava munayah sa-sisyah
1.19.8.3,prāyeṇa tīrthābhigamāpadeśaiḥ,prayena tirthabhigamapadesaih
1.19.8.4,svayaṁ hi tīrthāni punanti santaḥ,svayam hi tirthani punanti santah
1.19.9-10.1,atrir vasiṣṭhaś cyavanaḥ śaradvān,atrir vasisthas cyavanah saradvan
1.19.9-10.2,ariṣṭanemir bhṛgur aṅgirāś ca,aristanemir bhrgur angiras ca
1.19.9-10.3,parāśaro gādhi-suto ’tha rāma,parasaro gadhi-suto 'tha rama
1.19.9-10.4,utathya indrapramadedhmavāhau,utathya indrapramadedhmavahau
1.19.11.1,anye ca devarṣi-brahmarṣi-varyā,anye ca devarsi-brahmarsi-varya
1.19.11.2,rājarṣi-varyā aruṇādayaś ca,rajarsi-varya arunadayas ca
1.19.11.3,nānārṣeya-pravarān sametān,nanarseya-pravaran sametan
1.19.11.4,abhyarcya rājā śirasā vavande,abhyarcya raja Sirasa vavande
1.19.12.1,sukhopaviṣṭeṣv atha teṣu bhūyaḥ,sukhopavistesyv atha tesu bhuyah
1.19.12.2,kṛta-praṇāmaḥ sva-cikīrṣitaṁ yat,krta-pranamah sva-cikirsitam yat
1.19.12.3,vijñāpayām āsa vivikta-cetā,viinapayam asa vivikta-ceta
1.19.12.4,upasthito ’gre ’bhigṛhīta-pāṇiḥ,upasthito 'gre 'bhigrhita-panih
1.19.13.1,rājovāca,rajovaca
1.19.14.1,tasyaiva me ’ghasya parāvareśo,tasyaiva me 'ghasya paravareso
1.19.14.2,vyāsakta-cittasya gṛheṣv abhīkṣṇam,vyasakta-cittasya grhesv abhiksnam
1.19.14.3,nirveda-mūlo dvija-śāpa-rūpo,nirveda-mulo dvija-sapa-rupo
1.19.14.4,yatra prasakto bhayam āśu dhatte,yatra prasakto bhayam asu dhatte
1.19.15.1,taṁ mopayātaṁ pratiyantu viprā,tam mopayatam pratiyantu vipra
1.19.15.2,gaṅgā ca devī dhṛta-cittam īśe,ganga ca devi dhrta-cittam Ise
1.19.15.3,dvijopasṛṣṭaḥ kuhakas takṣako vā,dvijopasrstah kuhakas taksako va
1.19.15.4,daśatv alaṁ gāyata viṣṇu-gāthāḥ,dasatv alam gayata visnu-gathah
1.19.16.1,punaś ca bhūyād bhagavaty anante,punas ca bhayad bhagavaty anante
1.19.16.2,ratiḥ prasaṅgaś ca tad-āśrayeṣu,ratih prasangas ca tad-asrayesu
1.19.16.3,mahatsu yāṁ yām upayāmi sṛṣṭiṁ,mahatsu yam yam upayami srstim
1.19.16.4,maitry astu sarvatra namo dvijebhyaḥ,maitry astu sarvatra namo dvijebhyah
1.19.17.1,iti sma rājādhyavasāya-yuktaḥ,iti sma rajadhyavasaya-yuktah
1.19.17.2,prācīna-mūleṣu kuśeṣu dhīraḥ,pracina-mulesu kusesu dhitrah
1.19.17.3,udaṅ-mukho dakṣiṇa-kūla āste,udarn-mukho daksina-kula aste
1.19.17.4,samudra-patnyāḥ sva-suta-nyasta-bhāraḥ,samudra-patnyah sva-suta-nyasta-bharah
1.19.18.1,evaṁ ca tasmin nara-deva-deve,evam ca tasmin nara-deva-deve
1.19.18.2,prāyopaviṣṭe divi deva-saṅghāḥ,prayopaviste divi deva-sanghah
1.19.18.3,praśasya bhūmau vyakiran prasūnair,prasasya bhumau vyakiran prasunair
1.19.18.4,mudā muhur dundubhayaś ca neduḥ,muda muhur dundubhayas ca neduh
1.19.19.1,maharṣayo vai samupāgatā ye,maharsayo vai samupagata ye
1.19.19.2,praśasya sādhv ity anumodamānāḥ,prasasya sadhv ity anumodamanah
1.19.19.3,ūcuḥ prajānugraha-śīla-sārā,ucuh prajanugraha-sila-sara
1.19.19.4,yad uttama-śloka-guṇābhirūpam,yad uttama-sloka-gunabhirupam
1.19.20.1,na vā idaṁ rājarṣi-varya citraṁ,na va idam rajarsi-varya citram
1.19.20.2,bhavatsu kṛṣṇaṁ samanuvrateṣu,bhavatsu krsnam samanuvratesu
